省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
浙江省,杭州市,余杭区,长城影视,长城影视股份有限公司,广播与娱乐,72655,15121,20.80%,长城影视(002071),,江苏省张家港市大新镇人民路128号,浙江省杭州市文二西路西溪文化创意园长城影视证券部,www.chinaccys.com,2006-10-12
浙江省,杭州市,余杭区,浙富控股,浙富控股集团股份有限公司,电子电气组件与设备,80844,10695,13.20%,浙富控股(002266),,浙江省桐庐县县城迎春南路177号浙富大厦25F,浙江省杭州市余杭区绿汀路21号浙富控股大厦,www.zhefu.cn,2008-8-6
浙江省,杭州市,余杭区,老板电器,杭州老板电器股份有限公司,耐用消费品,498793,106104,21.30%,老板电器(002508),,浙江省杭州余杭区余杭经济开发区临平大道592号,浙江省杭州余杭区余杭经济开发区临平大道592号,www.robam.com,2010-11-23
浙江省,杭州市,余杭区,宝鼎科技,宝鼎科技股份有限公司,工业机械,17385,-1107,-6.40%,宝鼎科技(002552),,浙江省杭州余杭区塘栖镇工业园区内,浙江省杭州余杭区塘栖镇工业园区内,www.baoding-tech.com,2011-2-25
浙江省,杭州市,余杭区,微光股份,杭州微光电子股份有限公司,耐用消费品,42028,9036,21.50%,微光股份(002801),,浙江省杭州市余杭经济开发区兴中路365号,浙江省杭州市余杭经济开发区兴中路365号,www.wgmotor.com,2016-6-22
浙江省,杭州市,余杭区,同花顺,浙江核新同花顺网络信息股份有限公司,软件,98633,56285,57.10%,同花顺(300033),,浙江省杭州市余杭区同顺街18号,浙江省杭州市余杭区同顺街18号,www.10jqka.com.cn,2009-12-25
浙江省,杭州市,余杭区,中金环境,南方中金环境股份有限公司,工业机械,257340,51670,20.10%,中金环境(300145),,浙江省杭州市余杭区仁和街道仁河大道46号,浙江省杭州余杭区仁和镇,www.nanfang-pump.com,2010-12-9
浙江省,杭州市,余杭区,兴源环境,兴源环境科技股份有限公司,综合公共事业,258381,56576,21.90%,兴源环境(300266),,浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号,浙江省杭州市余杭区杭州余杭经济技术开发区望梅路1588号,www.xingyuan.com,2011-9-27
浙江省,杭州市,余杭区,晶盛机电,浙江晶盛机电股份有限公司,工业机械,125747,26229,20.90%,晶盛机电(300316),,浙江省绍兴市上虞区通江西路218号,浙江省杭州市余杭区五常街道创智天地中心2号楼10楼,www.jsjd.cc,2012-5-11
浙江省,杭州市,余杭区,炬华科技,杭州炬华科技股份有限公司,电子电气组件与设备,70821,12262,17.30%,炬华科技(300360),,浙江省杭州市余杭区仓前街道龙潭路9号,浙江省杭州市余杭区仓前街道龙潭路9号,www.sunrisemeter.com,2014-1-21
浙江省,杭州市,余杭区,杭州高新,杭州高新橡塑材料股份有限公司,特种化工品,44255,1909,4.30%,杭州高新(300478),,浙江省杭州市余杭区径山镇龙皇路10号,浙江省杭州市余杭区径山镇龙皇路10号,www.gxsl.com,2015-6-10
浙江省,杭州市,余杭区,集智股份,杭州集智机电股份有限公司,工业机械,8184,2094,25.60%,集智股份(300553),,浙江省杭州市西湖区三墩镇西园三路10号,浙江省杭州市余杭区良渚街道七贤路1-1号,www.zjjizhi.com,2016-10-21
浙江省,杭州市,余杭区,贝达药业,贝达药业股份有限公司,制药,76828,20008,26.00%,贝达药业(300558),,浙江省杭州市余杭经济技术开发区红丰路589号,浙江省杭州市余杭经济技术开发区红丰路589号,www.bettapharma.com,2016-11-7
浙江省,杭州市,余杭区,万通智控,万通智控科技股份有限公司,汽车零配件（IV）,23267,3053,13.10%,万通智控(300643),,浙江省杭州市余杭区杭州余杭经济技术开发区振兴东路12号,浙江省杭州市余杭区杭州余杭经济技术开发区振兴东路12号,www.hamaton.com,2017-5-5
浙江省,杭州市,余杭区,沪宁股份,杭州沪宁电梯部件股份有限公司,商用运载工具与车辆,19486,3613,18.50%,沪宁股份(300669),,浙江省杭州市余杭区中泰街道石鸽社区,浙江省杭州市余杭区中泰街道水塔村,www.hzhuning.com,2017-6-29
浙江省,杭州市,余杭区,天目药业,杭州天目山药业股份有限公司,制药,8449,-1220,-14.40%,天目药业(600671),,浙江省临安市苕溪南路78号,浙江省杭州市文二西路738号西溪乐谷3号楼,www.hztmyy.com,1993-8-23
