省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
河北省,保定市,涿州市,凌云股份,凌云工业股份有限公司,汽车零配件（IV）,854989,57943,6.80%,凌云股份(600480),河北省涿州市松林店镇,河北省涿州市松林店镇,www.lingyun.com.cn,2003/8/15
河北省,石家庄市,正定县,常山药业,河北常山生化药业股份有限公司,生物科技,88071,15751,17.90%,常山药业(300255),河北省石家庄市正定镇火车站西富强路9号,河北省石家庄市正定新区银川大街北首,www.heparin.cn,2011/8/19
河北省,沧州市,运河区,沧州明珠,沧州明珠塑料股份有限公司,通用化工品,263806,55995,21.20%,沧州明珠(002108),河北省沧州市沧石路张庄子工业园区,河北省沧州市新华西路13号,www.cz-mz.com,2007/1/24
河北省,沧州市,运河区,沧州大化,沧州大化股份有限公司,特种化工品,312833,130377,41.70%,沧州大化(600230),河北省沧州市运河区永济东路19号,河北省沧州市运河区永济东路19号,www.czdh.com.cn,2000/4/6
河北省,沧州市,运河区,金牛化工,河北金牛化工股份有限公司,通用化工品,65636,5952,9.10%,金牛化工(600722),河北省沧州市临港化工园区化工大道,河北省沧州市运河区金鼎大厦B座6-8层,www.hbjnhg.com,1996/6/26
河北省,石家庄市,裕华区,河钢股份,河北钢铁股份有限公司,钢铁,8690571,302114,3.50%,河钢股份(000709),河北省石家庄市体育南大街385号,河北省石家庄市体育南大街385号,www.hebgtgf.com,1997/4/16
河北省,石家庄市,裕华区,东方能源,石家庄东方能源股份有限公司,电力（IV）,176222,9429,5.40%,东方能源(000958),河北省石家庄市建华南大街161号,河北省石家庄市建华南大街161号,www.dfrdjt.com,1999/12/23
河北省,石家庄市,裕华区,以岭药业,石家庄以岭药业股份有限公司,制药,305970,53822,17.60%,以岭药业(002603),河北省石家庄市高新技术产业开发区天山大街238号,河北省石家庄市高新技术产业开发区天山大街238号,www.yiling.cn,2011/7/28
河北省,石家庄市,裕华区,冀凯股份,冀凯装备制造股份有限公司,工业机械,21569,933,4.30%,冀凯股份(002691),河北省石家庄高新区湘江道418号,河北省石家庄高新区湘江道418号,www.jikaigf.com,2012/7/31
河北省,石家庄市,裕华区,恒信东方,恒信东方文化股份有限公司,移动通信服务,28493,9862,34.60%,恒信东方(300081),河北省石家庄市开发区天山大街副69号,河北省石家庄市建设南大街80号恒辉商务大厦,www.hxgro.com,2010/5/20
