省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
湖北省,武汉市,武昌区,美好置业,美好置业集团股份有限公司,不动产投资开发,218511,52707,24.10%,美好置业(000667),云南省昆明市国防路129号恒安写字楼5楼,湖北省武汉市武昌区东湖路10号水果湖广场5楼,www.000667.com,1996-12-5
湖北省,武汉市,武昌区,武汉中商,武汉中商集团股份有限公司,百货零售,288023,9150,3.20%,武汉中商(000785),湖北省武汉市武昌区中南路9号,湖北省武汉市武昌区中南路9号,www.zhongshang.com.cn,1997-7-11
湖北省,武汉市,武昌区,南国置业,武汉南国置业股份有限公司,不动产投资开发,158303,1624,1.00%,南国置业(002305),湖北省武汉市武昌区南湖中央花园会所,湖北省武汉市武昌区昙华林路202号泛悦中心B座,www.langold.com.cn,2009-11-6
湖北省,武汉市,武昌区,当代明诚,武汉当代明诚文化股份有限公司,广播与娱乐,41003,4992,12.20%,当代明诚(600136),湖北省武汉市东湖开发区关凤大道特二号当代国际花园C座3-2F,湖北省武汉市武昌区中南路99号保利大厦A座33楼,www.whggfz.com,1998-3-3
湖北省,武汉市,武昌区,武汉控股,武汉三镇实业控股股份有限公司,水务,89346,27859,31.20%,武汉控股(600168),湖北省武汉市经济技术开发区联发大厦,湖北省武汉市武昌区友谊大道特8号长江隧道公司管理大楼,www.600168.com.cn,1998-4-27
湖北省,武汉市,武昌区,仰帆控股,湖北仰帆控股股份有限公司,工业机械,2524,-272,-10.80%,仰帆控股(600421),湖北省武汉市武昌武珞路628号亚洲贸易广场B座,湖北省武汉市武昌区武珞路628号亚洲贸易广场B座1568室,www.spring.com.cn,2004-6-7
湖北省,武汉市,硚口区,中百集团,中百控股集团股份有限公司,食品零售与批发,1125785,19498,1.70%,中百集团(000759),湖北省武汉市江汉区江汉路129号,湖北省武汉市?~口区古田二路南泥湾大道65-71号汇丰企业总部8号楼B座,www.whzb.com,1997-5-19
湖北省,武汉市,硚口区,葛洲坝,中国葛洲坝集团股份有限公司,建筑施工,7430823,440952,5.90%,葛洲坝(600068),湖北省武汉市解放大道558号葛洲坝大酒店,湖北省武汉市?~口区解放大道558号葛洲坝大厦,www.cggc.cn,1997-5-26
湖北省,武汉市,江夏区,石化机械,中石化石油机械股份有限公司,采油设备与服务,217999,-10021,-4.60%,石化机械(000852),湖北省武汉市东湖新技术开发区庙山小区华工园一路5号,湖北省武汉市东湖新技术开发区光谷大道77号光谷金融港A2座12层,sofe.sinopec.com,1998-11-26
湖北省,武汉市,江夏区,武汉凡谷,武汉凡谷电子技术股份有限公司,通讯设备,114053,-36766,-32.20%,武汉凡谷(002194),湖北省武汉市洪山区关东科技园三号区二号楼,湖北省武汉市江夏区藏龙岛科技园九凤街5号,www.fingu.com,2007-12-7
湖北省,武汉市,江夏区,光迅科技,武汉光迅科技股份有限公司,通讯设备,340240,27907,8.20%,光迅科技(002281),湖北省武汉市洪山区邮科院路88号,湖北省武汉市江夏区藏龙岛开发区潭湖路1号,www.accelink.com,2009-8-21
湖北省,武汉市,江夏区,中元股份,武汉中元华电科技股份有限公司,电子电气组件与设备,24364,5392,22.10%,中元股份(300018),湖北省武汉东湖新技术开发区华中科技大学科技园六路6号,湖北省武汉东湖新技术开发区华中科技大学科技园六路6号,www.zyhd.com.cn,2009-10-30
