省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
陕西省,西安市,未央区,陕天然气,陕西省天然气股份有限公司,燃气供应,538846,30428,5.60%,陕天然气(002267),陕西省西安市经济技术开发区A1区,陕西省西安经济技术开发区A1区开元路2号,www.shaanxigas.com,2008-8-13
陕西省,西安市,未央区,中环装备,中节能环保装备股份有限公司,电子电气组件与设备,107680,3057,2.80%,中环装备(300140),陕西省西安市经济技术开发区凤城十二路,陕西省西安市经济技术开发区凤城十二路98号,www.sdricom.com,2010-11-12
陕西省,西安市,未央区,航发动力,中航动力股份有限公司,航空航天,1299771,43280,3.30%,航发动力(600893),陕西省西安市未央区徐家湾,陕西省西安市未央区徐家湾,www.xaec.com,1996-4-8
陕西省,西安市,未央区,隆基股份,隆基绿能科技股份有限公司,电子电气组件与设备,1084637,267966,24.70%,隆基股份(601012),陕西省西安市长安区航天中路388号,陕西省西安市经济技术开发区尚稷路8989号西安服务外包产业园创新孵化中心B座,www.longigroup.com,2012-4-11
陕西省,西安市,经开区,西部材料,西部金属材料股份有限公司,有色金属,100674,6857,6.80%,西部材料(002149),陕西省西安市经开区泾渭工业园西金路西段15号,陕西省西安市经开区泾渭工业园西金路西段15号,www.c-wmm.com,2007-8-10
陕西省,西安市,高新区,天和防务,西安天和防务技术股份有限公司,电子设备,24539,4955,20.20%,天和防务(300397),陕西省西安市高新区科技五路9号,陕西省西安市高新区科技五路9号、陕西省西安市长安区西部大道158号（西部大道和上林苑四路十字西南角）,www.thtw.com.cn,2014-9-10
陕西省,西安市,高新区,国际医学,西安国际医学投资股份有限公司,百货零售,290292,23181,8.00%,国际医学(000516),陕西省西安市高新区团结南路16号保障楼5层,陕西省西安市高新区团结南路16号保障楼5层,www.000516.cn,1993-8-9
陕西省,西安市,高新区,陕国投A,陕西省国际信托股份有限公司,普通金融服务,83541,54930,65.80%,陕国投A(000563),陕西省西安市高新区科技路50号金桥国际广场C座,陕西省西安市高新区科技路50号金桥国际广场C座24-27层,www.siti.com.cn,1994-1-10
陕西省,西安市,高新区,陕西金叶,陕西金叶科教集团股份有限公司,商业辅助服务,51366,3290,6.40%,陕西金叶(000812),陕西省西安市高新区锦业路1号都市之门B座19层,陕西省西安市高新区锦业路1号都市之门B座19层,www.jinyegroup.cn,1998-6-23
陕西省,西安市,高新区,环球印务,西安环球印务股份有限公司,造纸,32435,1870,5.80%,环球印务(002799),陕西省西安市高新区科技一路32号,陕西省西安市高新区科技一路32号,www.globalprinting.cn,2016-6-8
陕西省,西安市,高新区,宝德股份,西安宝德自动化股份有限公司,不动产投资开发,48844,10046,20.60%,宝德股份(300023),陕西省西安市高新区草堂科技产业基地秦岭大道西付6号,陕西省西安市高新区草堂科技产业基地秦岭大道西付6号,www.bode-e.com,2009-10-30
陕西省,西安市,高新区,达刚路机,西安达刚路面机械股份有限公司,工业机械,23048,3445,14.90%,达刚路机(300103),陕西省西安市高新技术产业开发区科技三路60号,陕西省西安市高新区毕原三路10号,www.sxdagang.com,2010-8-12
陕西省,西安市,高新区,坚瑞沃能,陕西坚瑞消防股份有限公司,工业机械,860784,83934,9.80%,坚瑞沃能(300116),陕西省西安市高新区科技二路65号6幢10701房,陕西省西安市高新区科技二路65号清扬大厦A座8层,www.xajr.com,2010-9-2
陕西省,西安市,高新区,通源石油,西安通源石油科技股份有限公司,采油设备与服务,48542,-891,-1.80%,通源石油(300164),陕西省西安市高新区科技二路70号软件园唐乐阁D301室,陕西省西安市高新区科技二路70号软件园唐乐阁D301室,www.tongoiltools.com,2011-1-13
陕西省,西安市,高新区,晨曦航空,西安晨曦航空科技股份有限公司,电子设备,11429,2513,22.00%,晨曦航空(300581),陕西省西安市高新区锦业路69号创业园C区11号,陕西省西安市高新区锦业路69号创业园C区11号,--,2016-12-20
陕西省,西安市,高新区,中国西电,中国西电电气股份有限公司,电子电气组件与设备,880994,79781,9.10%,中国西电(601179),陕西省西安市高新区唐兴路7号A座,陕西省西安市高新区唐兴路7号A座,www.xdect.com.cn,2010-1-28
陕西省,西安市,高新区,陕鼓动力,西安陕鼓动力股份有限公司,工业机械,280240,29581,10.60%,陕鼓动力(601369),陕西省西安市高新区沣惠南路8号,陕西省西安市高新区沣惠南路8号,www.shaangu.com,2010-4-28
陕西省,西安市,高新区,广誉远,广誉远中药股份有限公司,制药,73776,13688,18.60%,广誉远(600771),青海省西宁经济开发区金桥路38号,陕西省西安市高新区高新六路52号立人科技园A座六层,www.guangyuyuan.cn,1996-11-5
陕西省,西安市,碑林区,西安旅游,西安旅游股份有限公司,酒店业,53852,-1196,-2.20%,西安旅游(000610),陕西省西安市南二环西段27号西安旅游大厦七层,陕西省西安市碑林区南二环西段27号旅游大厦7层,www.xatourism.com,1996-9-26
陕西省,西安市,碑林区,西安饮食,西安饮食股份有限公司,餐馆与酒吧,36816,-196,-0.50%,西安饮食(000721),陕西省西安市碑林区南二环西段27号西安旅游大厦六层,陕西省西安市碑林区南二环西段27号西安旅游大厦六层,www.xcsg.com,1997-4-30
陕西省,西安市,碑林区,陕西煤业,陕西煤业股份有限公司,煤炭开采,3940361,1382291,35.10%,陕西煤业(601225),陕西省西安市高新区锦业一路2号,陕西省西安市碑林区太乙路182号,www.shxcoal.com,2014-1-28
陕西省,西安市,西安市,延长化建,陕西延长石油化建股份有限公司,建筑施工,268145,9494,3.50%,延长化建(600248),陕西省西安市杨凌农业高新技术产业示范区新桥北路2号,陕西省西安市杨凌农业高新技术产业示范区新桥北路2号,www.ycpcec.com,2000-6-22
